Sr No.,District,Gini Index
473,Rajsamand,0.24
474,Jaisalmer,0.2
475,Chittaurgarh,0.3
476,Sawai Madhopur,0.21
477,Udaipur,0.28
478,Bundi,0.24
479,Jhalawar,0.2
480,Karauli,0.23
481,Baran,0.2
482,Banswara,0.27
483,Dhaulpur,0.25
484,Sirohi,0.29
485,Bharatpur,0.25
486,Dungarpur,0.24
487,Pratapgarh,
,Rajasthan,0.29
488,East District,0.28
489, West District,0.19
490,South District,0.24
491,North District,0.24
,Sikkim,0.26
492,Thiruvallur,0.3
493,Chennai,0.34
494,Thanjavur,0.28
495,Thiruvarur,0.23
496,Namakkal,0.32
497,Nagapattinam,0.26
498,Kanyakumari,0.36
499,Tiruchirappalli,0.29
500,Kancheepuram,0.31
501,Coimbatore,0.34
502,Pudukkottai,0.27
503,Perambalur,0.27
504,Ariyalur,0.24
505,Erode,0.31
506,Karur,0.3
507,Dindigul,0.28
508,Madurai,0.28
509,Theni,0.24
510,Tirunelveli,0.28
511,Vellore,0.28
512,Ramanathapuram,0.25
513,Thoothukudi,0.2
514,Salem,0.26
515,Tiruvannamalai,0.29
516,Dharmapuri,0.32
517,Sivaganga,0.27
518,Virudhunagar,0.27
519,The Nilgiris,0.3
520,Krishnagiri,0.39
521,Cuddalore,0.27
522,Viluppuram,0.27
523,Tiruppur,
,Tamil Nadu,0.33
524,Medak,0.23
525,Rangareddy,0.31
526,Mahbubnagar,0.25
527,Karimnagar,0.2
528,Adilabad,0.37
529,Nizamabad,0.27
530,Warangal,0.23
531,Khammam,0.23
532,Hyderabad,0.26
533,Nalgonda,0.32
,Telangana,0.17
534,Dhalai,0.17
535,North Tripura,0.24
536,South Tripura,0.24
537,West Tripura,0.27
,Tripura,0.25
538,Ghaziabad,0.4
539,Gautam Buddha,0.47
540,Nagar Muzaffarnagar,0.27
541,Meerut,0.46
542,Auraiya,0.19
543,Pilibhit,0.25
544,Saharanpur,0.26
545,Hathras,0.25
546,Aligarh,0.28
547,Bulandshahr,0.26
548,Mathura,0.23
549,Kanpur Dehat,0.2
550,Jhansi,0.34
551,Baghpat,0.28
552,Deoria,0.31
553,Shrawasti,0.15
554,Jyotiba Phule Nagar,0.24
555,Sultanpur,0.31
556,Varanasi,0.32
557,Etawah,0.21
558,Lalitpur,0.23
559,Kanpur Nagar,0.33
560,Bareilly,0.27
561,Ghazipur,0.24
562,Kushinagar,0.24
563,Gorakhpur,0.32
564,Lucknow,0.42
565,Kheri,0.24
566,Bijnor,0.25
567,Siddharthnagar,0.27
568,Farrukhabad,0.24
569,Agra,0.26
570,Moradabad,0.27
571,Sant Kabir Nagar,0.25
572,Chandauli,0.3
573,Allahabad,0.37
574,Budaun,0.22
575,Shahjahanpur,0.21
576,Bahraich,0.24
577,Kanshiram Nagar,0.29
578,Firozabad,0.24
579,Mahoba,0.26
580,Ballia,0.27
581,Mirzapur,0.28
582,Hardoi,0.21
583,Jaunpur,0.23
584,Unnao,0.27
585,Ambedkar Nagar,0.22
586,Etah,0.3
587,Rampur,0.21
588,Jalaun,0.28
589,Balrampur,0.2
590,Gonda,0.24
591,Maharajganj,0.26
592,Barabanki,0.19
593,Chitrakoot,0.17
594,Sitapur,0.26
595,Azamgarh,0.27
596,Fatehpur,0.19
597,Basti,0.31
598,Faizabad,0.39
599,Sonbhadra,0.27
600,Mainpuri,0.25
601,Rae Bareli,0.22
602,Pratapgarh,0.23
603,Hamirpur,0.24
604,Mau,0.28
605,Banda,0.22
606,Kaushambi,0.27
607,Sant Ravidas Nagar,0.24
608,Bhadohi Kannauj,0.25
,Uttar Pradesh,0.31
609,Chamoli,0.2
610,Rudraprayag,0.19
611,Tehri Garhwal,0.2
612,Pithoragarh,0.25
613,Bageshwar,0.26
614,Uttarkashi,0.21
615,Dehradun,0.28
616,Haridwar,0.48
617,Garhwal,0.26
618,Almora,0.27
619,Champawat,0.29
620,Udham Singh Nagar,0.3
621,Nainital,0.33
,Uttarakhand,0.35
622,Kolkata,0.4
623,Jalpaiguri,0.22
624,Darjeeling,0.28
625,North Twenty Four,0.38
626,Parganas Haora,0.31
627,Purba Medinipur,0.32
628,Maldah,0.26
629,South Twenty Four,0.29
630,Parganas Koch Bihar,0.2
631,Paschim Medinipur,0.28
632,Birbhum,0.24
633,Murshidabad,0.22
634,Bankura,0.25
635,Barddhaman,0.31
636,Dakshin Dinajpur,0.24
637,Hugli,0.28
638,Nadia,0.25
639,Uttar Dinajpur,0.28
640,Puruliya,0.23
,West Bengal,0.33
